"Airport/Carrier","Max/Min Devs"
"B6-SJC",-53
"B6-SJU",1439
"B6-SJU",-69
"B6-SLC",104
"B6-SLC",-42
"B6-SMF",1462
"B6-SMF",-78
"B6-SRQ",108
"B6-SRQ",-37
"B6-SWF",116
"B6-SWF",-39
"B6-SYR",376
"B6-SYR",-33
"B6-TPA",1442
"B6-TPA",-100
"B6-TUS",76
"B6-TUS",-48
"CO-ABQ",153
"CO-ABQ",-77
"CO-AGS",18
"CO-AGS",-16
"CO-AMA",4
"CO-AMA",1
"CO-ANC",126
"CO-ANC",-61
"CO-ATL",296
"CO-ATL",-62
"CO-AUS",375
"CO-AUS",-54
"CO-BDL",186
"CO-BDL",-50
"CO-BHM",172
"CO-BHM",-29
"CO-BNA",116
"CO-BNA",-43
"CO-BOS",305
"CO-BOS",-59
"CO-BQN",71
"CO-BQN",-45
"CO-BRO",37
"CO-BRO",-30
"CO-BTR",190
"CO-BTR",-26
"CO-BTV",18
"CO-BTV",-5
"CO-BUF",176
"CO-BUF",-35
"CO-BWI",216
"CO-BWI",-44
"CO-CHS",86
"CO-CHS",-30
"CO-CLE",272
"CO-CLE",-52
"CO-CLT",212
"CO-CLT",-42
"CO-CMH",212
"CO-CMH",-49
"CO-COS",81
"CO-COS",-28
"CO-CRP",97
"CO-CRP",-16
"CO-CVG",39
"CO-CVG",-7
"CO-DAB",190
"CO-DAB",-41
"CO-DAY",3
"CO-DAY",3
"CO-DCA",206
"CO-DCA",-52
"CO-DEN",180
"CO-DEN",-54
"CO-DFW",355
"CO-DFW",-67
"CO-DTW",223
"CO-DTW",-52
"CO-EGE",117
"CO-EGE",-59
"CO-ELP",160
"CO-ELP",-27
"CO-EWR",356
"CO-EWR",-79
"CO-FLL",209
"CO-FLL",-55
"CO-GPT",151
"CO-GPT",-47
"CO-GSO",125
"CO-GSO",-33
"CO-GUC",101
"CO-GUC",-36
"CO-HDN",78
"CO-HDN",-32
"CO-HNL",98
"CO-HNL",-56
"CO-HOU",211
"CO-HOU",-54
"CO-IAD",186
"CO-IAD",-55
"CO-IAH",1425
"CO-IAH",-76
"CO-IND",192
"CO-IND",-63
"CO-JAC",118
"CO-JAC",-27
"CO-JAX",175
"CO-JAX",-55
"CO-JFK",265
"CO-JFK",-59
"CO-LAS",161
"CO-LAS",-70
"CO-LAX",177
"CO-LAX",-66
"CO-LBB",-6
"CO-LBB",-6
"CO-LFT",129
"CO-LFT",-27
"CO-LGA",279
"CO-LGA",-56
"CO-LIT",16
"CO-LIT",-38
"CO-MAF",-2
"CO-MAF",-10
"CO-MCI",150
"CO-MCI",-54
"CO-MCO",226
"CO-MCO",-52
"CO-MDW",231
"CO-MDW",-51
"CO-MEM",117
"CO-MEM",-24
"CO-MFE",189
"CO-MFE",-29
"CO-MHT",164
"CO-MHT",-32
"CO-MIA",225
"CO-MIA",-61
"CO-MKE",72
"CO-MKE",-34
"CO-MSP",184
"CO-MSP",-44
"CO-MSY",311
"CO-MSY",-57
"CO-MTJ",92
"CO-MTJ",-58
"CO-MYR",175
"CO-MYR",-41
"CO-OAK",87
"CO-OAK",-48
"CO-OGG",54
"CO-OGG",-61
"CO-OKC",166
"CO-OKC",-24
"CO-OMA",229
"CO-OMA",-31
"CO-ONT",127
"CO-ONT",-32
"CO-ORD",268
"CO-ORD",-66
"CO-ORF",154
"CO-ORF",-33
"CO-PBI",202
"CO-PBI",-60
"CO-PDX",114
